EMPLOYEE_ID,PERSON_TYPE,PERSON_STATUS,DEPARTMENT_NAME,JOB_FUNCTION,JOB_TITLE,CAREER_BAND,LEGAL_ENTITY_NAME,DIVISION_NAME,BUSINESS_SEGMENT,INDUSTRY_FOCUS_NAME,GE_HIRE_DATE,LOCATION_NAME,CITY,STATE_NAME,COUNTRY_NAME,COUNTRY,FUNCTION_GROUP
4699486292,CONTRACTOR,A,,Logistics,Import  & Export Document Assistant,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Ubajara (Tiangua) CE,Ubajara,Ceara,No_Data,BR,Production
28344067127,CONTRACTOR,A,,Services,N/A,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
40840652516,CONTRACTOR,A,,Quality,Project Manager,No_Data,,AVI SC-Ceramic Matrix Composites,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
42053567086,CONTRACTOR,A,,Services,Assistente de Movimentação e Armazenagem,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
44185575535,CONTRACTOR,A,,Logistics,Import & Export Assistant,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
8285519903,CONTRACTOR,A,,Services,NA,No_Data,,AVI CEO-Regional Engines & Services,Aviation Commercial Engines,GE Aviation,,Arkansas(GET) KS US,Arkansas City,Kansas,No_Data,US,Production
21845701436,CONTRACTOR,I,,Manufacturing,Ops Lead,,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Bromont QC CA,Bromont,,,CA,
9482322548,CONTRACTOR,A,,Quality,Receiving Inspector,No_Data,,AVI SC-Quality,Aviation Supply Chain,GE Aviation,,MexicoCity MX 1,Mexico City,State of Mexico,No_Data,MX,Enabling
50198451364,CONTRACTOR,A,,Manufacturing,Lean Coordinator,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
47396489956,CONTRACTOR,A,,Logistics,Planejador Junior,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Ubajara (Tiangua) CE,Petropolis,Ceara,No_Data,BR,Production
14882560082,CONTRACTOR,A,,Logistics,Import  & Export Document Assistant,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Ubajara (Tiangua) CE,Ubajara,Ceara,No_Data,BR,Production
586285511,CONTRACTOR,A,,Manufacturing,,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
7463102993,CONTRACTOR,A,,Finance,TBD,No_Data,,AVI FIN-Commercial Engines,Aviation Finance,GE Aviation,,W Chester(NP)OH US,West Chester,Ohio,No_Data,US,Enabling
12543328563,CONTRACTOR,A,,Manufacturing,Lean Specialist,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
49453482055,CONTRACTOR,A,,Logistics,logistics specialist,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Other CN,,No_Data,No_Data,CN,Production
11900738770,FUNCTIONAL,A,,Manufacturing,,,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,,,,,US,
38811379566,FUNCTIONAL,A,,Digital Technology,,,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,,,,,US,
45729463624,CONTRACTOR,I,,Information Technology,Desk Top Support Analyst,,,DIG TECH-Core Technical Solutions,Aviation Digital,GE Digital,,Madisonville KY US,Madisonville,,,US,
48851889586,CONTRACTOR,A,,Information Technology,Network Engineer,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
48560026755,CONTRACTOR,A,,Logistics,Engineering Assistant,No_Data,,AVI SC-Assembly & Test,Aviation Supply Chain,GE Aviation,,Mid River GET MD US,Baltimore,Maryland,No_Data,US,Production
26679225956,CONTRACTOR,A,,Manufacturing,Purchase Service,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Hooksett GET NH US,Hooksett,New Hampshire,No_Data,US,Production
48678904523,CONTRACTOR,A,,Engineering/Technology,Lead System Engineer.,,,OG OFE-Subsea Production Systems,Oil & Gas Oilfield Equipment,GE Oil & Gas,,Nailsea (OG) GB,Nailsea,,,GB,
21446218667,CONTRACTOR,A,,Information Technology,Technical Support Analyst,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,W Chester OH US,West Chester,Ohio,No_Data,US,Enabling
21446231500,CONTRACTOR,A,,Services,Work Order Clerk,No_Data,,AVI SVS-Materials Solutions,Aviation Services,GE Aviation,,Other KS US,,Kansas,No_Data,US,Production
32970744954,CONTRACTOR,I,,Engineering/Technology,Lab Specialist,,,AVI BGA-Power Engineering,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Dayton (Rvr) OH US,Dayton,,,US,
5611282828,CONTRACTOR,A,,Manufacturing,Ingeniero de Manufactura,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
8908206691,CONTRACTOR,A,,Project Management,Material Planner,No_Data,,AVI SVS-Materials Solutions,Aviation Services,GE Aviation,,Dubai AE 5,Dubai,Dubai,No_Data,AE,Production
21209111788,CONTRACTOR,A,,Manufacturing,LEAN LEADER,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
48679920672,CONTRACTOR,I,,Manufacturing,manufacturer,,,AVI HR-Supply Chain,Aviation Human Resources,GE Aviation,,Hooksett GET NH US,Hooksett,,,US,
32315990329,CONTRACTOR,I,,Human Resources,HR Support,,,AVI HR-Supply Chain,Aviation Human Resources,GE Aviation,,Rutland (GET) VT US,Rutland,,,US,
29107127434,CONTRACTOR,A,,Services,Contolador de Documentação,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
12258885364,CONTRACTOR,A,,Security,Security Guard,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Asheville Aero NC US,Asheville,North Carolina,No_Data,US,Enabling
49986112490,CONTRACTOR,I,,Engineering/Technology,GCAT,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
49986112589,CONTRACTOR,I,,Engineering/Technology,GCAT,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
5081599894,CONTRACTOR,I,,Information Technology,consultant,,,AVI CEO-Customer & Product Support,Aviation Commercial Engines,GE Aviation,,W Chester(NP)OH US,West Chester,,,US,
16344732539,CONTRACTOR,A,,Engineering/Technology,Engineer,No_Data,,AVI ENG-Turkey,Aviation Engineering,GE Aviation,,Gebze (Mam) TR,Gebze,Kocaeli,No_Data,TR,Production
39333329821,CONTRACTOR,A,,Finance,Owner,No_Data,,AVI FIN-Commercial Engines,Aviation Finance,GE Aviation,,W Chester(NP)OH US,West Chester,Ohio,No_Data,US,Enabling
11392834993,CONTRACTOR,A,,Digital Technology,Data Engineer,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US 2,Evendale,Ohio,No_Data,US,Enabling
42196014639,CONTRACTOR,A,,Digital Technology,Relationship Head,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US 2,Evendale,Ohio,No_Data,US,Enabling
7737451650,CONTRACTOR,I,,Information Technology,Level 1 Sys admin,,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,,,US,
45312541221,CONTRACTOR,A,,Information Technology,Technical Support Analyst,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Lafayette IN US 1,Lafayette,Indiana,No_Data,US,Enabling
6321466802,CONTRACTOR,A,,Information Technology,Software Analyst,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US 2,Evendale,Ohio,No_Data,US,Enabling
15135705373,CONTRACTOR,A,,Manufacturing,Custodian,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Wilmington NC US,Wilmington,North Carolina,No_Data,US,Production
16697914012,CONTRACTOR,A,,Environmental Health & Safety,Case Manager RN,No_Data,,AVI SC-EHS & Security & Facilities & Health Services,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
48854735416,CONTRACTOR,A,,Services,Xerox Associate,No_Data,,AVI SC-EHS & Security & Facilities & Health Services,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Production
3669530802,CONTRACTOR,I,,Digital Technology,SFDC developer,,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,,,US,
7737605485,CONTRACTOR,A,,Sourcing,Buyer,No_Data,,AVI SC-Sourcing,Aviation Supply Chain,GE Aviation,,Suzhou(Suhong Rd) CN,Suzhou,Jiangsu,No_Data,CN,Production
49858271603,CONTRACTOR,A,,Manufacturing,kbarbas1291@gmail.com,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
45536680316,CONTRACTOR,A,,Logistics,Import & Export Document Assistant,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
48562922855,CONTRACTOR,A,,Manufacturing,COMPRADORA,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
41060626843,NON GE,I,,Manufacturing,Material Intern,,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Suzhou(Suhong Rd) CN,Suzhou,,,CN,
32972730843,CONTRACTOR,I,,Information Technology,Desktop Support Technician,,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,G Rapids Aero MI US,Grand Rapids,,,US,
16063240045,CONTRACTOR,I,,Manufacturing,Value Process Engineer,,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Bohemia(Smith) NY US,Bohemia,,,US,
47888805863,CONTRACTOR,A,,Manufacturing,CLERK DE MATERIALES,No_Data,,AVI BGA-Supply Chain,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Production
1113507180,CONTRACTOR,A,,Digital Technology,Talend Developer,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US 2,Evendale,Ohio,No_Data,US,Enabling
39334909033,CONTRACTOR,A,,Sourcing,Buyer,No_Data,,AVI SC-Sourcing,Aviation Supply Chain,GE Aviation,,Evendale OH US,Cincinnati,Ohio,No_Data,US,Production
16345405149,CONTRACTOR,A,,Information Technology,Network Admin,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
14472255101,CONTRACTOR,A,,Sourcing,Buyer,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Bromont QC CA,Bromont,Quebec,No_Data,CA,Production
1580046737,CONTRACTOR,I,,Engineering/Technology,Electrical Design Engineer,,,AVI BGA-Power Engineering,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Dayton (Rvr) OH US,Dayton,,,US,
48682814473,CONTRACTOR,A,,Services,mover,No_Data,,AVI SC-EHS & Security & Facilities & Health Services,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Production
3280531654,CONTRACTOR,I,,Manufacturing,Quality Inspector,,,AVI SC-Ceramic Matrix Composites,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,,,US,
45045467990,CONTRACTOR,A,,Engineering/Technology,TPAG,No_Data,,AVI ENG-Services,Aviation Engineering,GE Aviation,,W Chester(NP)OH US,West Chester,Ohio,No_Data,US,Production
16063562339,CONTRACTOR,A,,Information Technology,Consultant,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
25171287484,CONTRACTOR,A,,Manufacturing,Administrative Assistant,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Hooksett GET NH US,Hooksett,New Hampshire,No_Data,US,Production
16698581125,CONTRACTOR,A,,Engineering/Technology,Engineer 2,No_Data,,AVI ENG-GE 9X Engineering,Aviation Engineering,GE Aviation,,WestChester OH US 2,West Chester,Ohio,No_Data,US,Production
35921780953,CONTRACTOR,A,,Finance,CFM Finance On-site rep,No_Data,,AVI FIN-Commercial Engines,Aviation Finance,GE Aviation,,W Chester(NP)OH US,West Chester,Ohio,No_Data,US,Enabling
50021723168,CONTRACTOR,A,,Environmental Health & Safety,Nurse,No_Data,,AVI SC-EHS & Security & Facilities & Health Services,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
42537567941,CONTRACTOR,I,,Engineering/Technology,GCAT Engineer,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
39335722332,CONTRACTOR,I,,Engineering/Technology,GCAT Engineer,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
39335722410,CONTRACTOR,I,,Engineering/Technology,GCAT Engineer,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
39335722489,CONTRACTOR,I,,Engineering/Technology,GCAT Engineer,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
16698600909,CONTRACTOR,I,,Engineering/Technology,GCAT Engineer,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
16698601042,CONTRACTOR,I,,Engineering/Technology,GCAT Engineer,,,Aviation China,Aviation China,GE Aviation,,Cincinnati(30M)OH US,Cincinnati,,,US,
42198531191,CONTRACTOR,A,,Human Resources,Senior Talent Acquisition Partner,No_Data,,AVI HR-Organization & Talent Development,Aviation Human Resources,GE Aviation,,Other FL US,,Florida,No_Data,US,Enabling
3669677450,CONTRACTOR,A,,Business Management,Project Manager,No_Data,,AVI CEO-Regional Engines & Services,Aviation Commercial Engines,GE Aviation,,Other OH US,West Chester,Ohio,No_Data,US,Production
45907791134,CONTRACTOR,A,,Financial Services Operations,Assistente Fiscal,No_Data,,AVI FIN-Tax,Aviation Finance,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
13940477210,CONTRACTOR,A,,Services,Controlador de Documentação Técnina,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
6321832523,CONTRACTOR,A,,Quality,AUDITOR DE CALIDAD,No_Data,,AVI SC-Quality,Aviation Supply Chain,GE Aviation,,Saltillo COA MX 1,Saltillo,Coahuila,No_Data,MX,Enabling
36016941953,CONTRACTOR,I,,Human Resources,intern,,,CORP HR-Talent Acquisition,Corporate Human Resources,GE Corporate,,Shanghai(ZngJng) CN,Shanghai,,,CN,
3280596867,CONTRACTOR,A,,Manufacturing,Consultant,No_Data,,AVI SC-Quality,Aviation Supply Chain,GE Aviation,,Arkansas(GET) KS US,Arkansas City,Kansas,No_Data,US,Production
36016970591,CONTRACTOR,A,,Support Services,Consultant,No_Data,,AVI SVS-Materials Solutions,Aviation Services,GE Aviation,,GdPrairie(Red) TX US,Grand Prairie,Texas,No_Data,US,Enabling
45363837036,CONTRACTOR,I,,Sourcing,Sourcing Compliance,,,AVI SC-Sourcing,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,,,US,
39336457437,CONTRACTOR,A,,Engineering/Technology,Engineering Assistant,No_Data,,AVI SC-Component Repair,Aviation Supply Chain,GE Aviation,,McAllen (GET) TX US,McAllen,Texas,No_Data,US,Production
45062229718,CONTRACTOR,I,,Engineering/Technology,intern,,,AVI ENG-China,Aviation Engineering,GE Aviation,,Shanghai (CTC) CN,Shanghai,,,CN,
19964297758,CONTRACTOR,A,,Sourcing,Buyer,No_Data,,AVI SC-Rotating Parts & Compressor Airfoils,Aviation Supply Chain,GE Aviation,,Bromont QC CA,Bromont,Quebec,No_Data,CA,Production
48857697208,CONTRACTOR,A,,Product Management,Consultant,No_Data,,AVI CEO-Customer & Product Support,Aviation Commercial Engines,GE Aviation,,W Chester(NP)OH US,West Chester,Ohio,No_Data,US,Commercial
49861195804,CONTRACTOR,I,,Services,Assistente de Movimentação e Armazenagem,,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,,,BR,
49761254978,CONTRACTOR,A,,Services,Assistente de Movimentação e Armazenagem,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
49761283961,CONTRACTOR,I,,Information Technology,Systems admin,,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,,,US,
38771227955,CONTRACTOR,A,,Logistics,ASSISTENTE DE MOVIMENTAÇÃO E ARMAZENAGEM,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
26029028283,CONTRACTOR,A,,Sourcing,TCS Sourcing Operations Specialist,No_Data,,AVI SC-Sourcing,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Production
49587709316,CONTRACTOR,A,,Sourcing,TCS Sourcing Operations Specialist,No_Data,,AVI SC-Sourcing,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Production
45908712841,CONTRACTOR,A,,Engineering/Technology,Engineer,No_Data,,AVI ENG-Engineering Material Systems,Aviation Engineering,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Production
32974703492,CONTRACTOR,A,,Manufacturing,CONTROLADOR DE MATERIAIS,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
20081743626,CONTRACTOR,A,,Human Resources,Talent Acquisition Specialist,,,HC HR-Talent Acquisition,Healthcare Human Resources,GE Healthcare,,Shanghai(ZngJng) CN,Shanghai,,,CN,
45063142678,CONTRACTOR,I,,Engineering/Technology,AutoCAD Drafter,,,AVI BGA-Power Engineering,Aviation Business & General Aviation & Integrated Systems,GE Aviation,,Dayton (Rvr) OH US,Dayton,,,US,
3669819736,CONTRACTOR,A,,Services,-,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
34038925999,CONTRACTOR,A,,Information Technology,Systems Admin,No_Data,,AVI DIG-Information Technology,Aviation Digital,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Enabling
49952113504,CONTRACTOR,A,,Services,Assistente Tecnico de PCP,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
46398750329,CONTRACTOR,I,,Manufacturing,Engineer,,,AVI SC-Ceramic Matrix Composites,Aviation Supply Chain,GE Aviation,,Newark (BR) DE US,Newark,,,US,
49780938357,CONTRACTOR,A,,Logistics,CUSTOMER SERVICE REP,No_Data,,AVI SC-Materials,Aviation Supply Chain,GE Aviation,,Evendale OH US,Evendale,Ohio,No_Data,US,Production
45540310876,CONTRACTOR,A,,Logistics,Planejador de Materias Jr.,No_Data,,AVI SC-Engine Overhaul,Aviation Supply Chain,GE Aviation,,Petropolis (GET) BR,Petropolis,Rio de Janeiro,No_Data,BR,Production
